,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
297,inuvik,90.0,CA,2018-11-13,77.0,68.36,-133.71,-0.41,13.87
298,mosquera,20.0,CO,2018-11-13,87.0,4.71,-74.23,51.8,2.24
299,karratha,0.0,AU,2018-11-13,22.0,-20.74,116.85,96.75,12.06
300,sundargarh,0.0,IN,2018-11-13,39.0,22.12,84.04,84.2,4.83
301,narasannapeta,36.0,IN,2018-11-13,45.0,18.42,84.04,89.14,9.26
302,isangel,90.0,VU,2018-11-13,88.0,-19.55,169.27,75.2,3.36
303,beloha,0.0,MG,2018-11-13,52.0,-25.17,45.06,77.71,19.37
304,khatanga,12.0,RU,2018-11-13,56.0,71.98,102.47,-19.27,5.91
305,harper,90.0,US,2018-11-13,69.0,30.3,-99.24,33.44,17.22
306,caravelas,88.0,BR,2018-11-13,100.0,-17.73,-39.27,76.14,15.68
307,yumen,36.0,CN,2018-11-13,69.0,40.29,97.04,36.99,4.5
308,nanakuli,1.0,US,2018-11-13,82.0,21.39,-158.15,77.0,15.9
309,wagar,92.0,US,2018-11-13,100.0,31.44,-87.99,58.09,5.79
310,la romana,40.0,DO,2018-11-13,88.0,18.43,-68.97,78.8,8.05
311,los llanos de aridane,48.0,ES,2018-11-13,63.0,28.66,-17.92,66.2,12.75
312,guamal,68.0,CO,2018-11-13,100.0,9.14,-74.22,75.28,2.37
313,manaus,0.0,BR,2018-11-13,74.0,-3.13,-59.98,84.2,4.7
314,henties bay,88.0,NA,2018-11-13,84.0,-22.12,14.28,64.71,6.02
315,kathmandu,20.0,NP,2018-11-13,49.0,27.71,85.32,69.8,4.7
316,montlucon,92.0,FR,2018-11-13,97.0,46.33,2.6,47.7,4.05
317,polonnaruwa,32.0,LK,2018-11-13,74.0,7.94,81.0,85.5,13.29
318,guerrero negro,0.0,MX,2018-11-13,52.0,27.97,-114.04,64.48,19.44
319,si sa ket,40.0,TH,2018-11-13,52.0,15.12,104.33,93.2,3.36
320,kahului,40.0,US,2018-11-13,76.0,20.89,-156.47,73.94,8.05
321,novopokrovka,80.0,RU,2018-11-13,75.0,45.85,134.51,34.11,4.05
322,opuwo,0.0,NA,2018-11-13,17.0,-18.06,13.84,76.77,11.61
323,bonito,0.0,BR,2018-11-13,92.0,-1.36,-47.3,73.98,6.4
324,bacalar,88.0,MX,2018-11-13,93.0,18.68,-88.39,81.76,5.91
325,miraflores,8.0,CO,2018-11-13,92.0,5.2,-73.14,44.41,1.7
326,kaseda,40.0,JP,2018-11-13,49.0,31.42,130.32,68.0,3.36
327,mildura,92.0,AU,2018-11-13,46.0,-34.18,142.16,77.44,4.79
